meses,IGAE_DESES
2014/02,91.17654912
2014/03,91.43618909
2014/04,91.92088929
2014/05,92.54111782
2014/06,92.20897125
2014/07,92.72408951
2014/08,92.16001613
2014/09,92.35399879
2014/10,93.020997
2014/11,93.14906425
2014/12,93.0859652
2015/01,93.12087123
2015/02,93.45153169
2015/03,93.61419064
2015/04,94.53144049
2015/05,93.87258006
2015/06,94.29363554
2015/07,95.02353369
2015/08,94.98501929
2015/09,96.44223235
2015/10,95.22110673
2015/11,94.60512337
2015/12,94.8540026
2016/01,95.09420273
2016/02,95.60924967
2016/03,95.13229582
2016/04,95.14417961
2016/05,95.49345747
2016/06,95.91454167
2016/07,95.85394916
2016/08,96.15732035
2016/09,96.7202839
2016/10,97.01373835
2016/11,97.24822357
2016/12,97.70804304
2017/01,98.02530973
2017/02,97.56990761
2017/03,97.86175521
2017/04,97.94614917
2017/05,97.67582245
2017/06,98.13520174
2017/07,97.3420056
2017/08,98.28025338
2017/09,97.14653084
2017/10,98.40111322
2017/11,99.13546811
2017/12,99.75470125
2018/01,99.13532287
2018/02,99.60740025
2018/03,100.334535
2018/04,99.37204136
2018/05,100.0446514
2018/06,99.91847774
2018/07,100.2874389
2018/08,100.602268
2018/09,100.5620585
2018/10,100.6700091
2018/11,100.1589995
2018/12,99.68213423
2019/01,100.165283
2019/02,100.3986268
2019/03,99.55146699
2019/04,99.81152003
2019/05,99.59579308
2019/06,99.95036456
2019/07,99.67807203
2019/08,99.79012805
2019/09,100.0654477
2019/10,99.15523317
2019/11,99.43872368
2019/12,99.14885061
2020/01,99.95326182
2020/02,99.05991283
2020/03,95.82462636
2020/04,77.29609466
2020/05,75.88373166
2020/06,85.00083633
2020/07,89.63297833
2020/08,91.98385578
2020/09,94.02771996
2020/10,95.52262865
2020/11,96.06246472
2020/12,95.98196747
2021/01,95.68578102
2021/02,94.90361922
2021/03,97.26492617
2021/04,96.64003897
2021/05,96.71793111
2021/06,96.51805597
2021/07,96.44593867
2021/08,95.48598762
2021/09,95.40482571
2021/10,96.259787
2021/11,97.00312144
2021/12,97.83409601
2022/01,97.95076549
2022/02,98.64708632
2022/03,99.16168421
2022/04,99.55000242
2022/05,99.68521712
2022/06,99.40339869
2022/07,100.1390352
2022/08,100.5035027
2022/09,101.1125337
2022/10,101.207871
2022/11,101.2178884
2022/12,101.5473822
2023/01,102.0355585
2023/02,102.0439143
2023/03,102.0327764
2023/04,102.7350445
2023/05,102.9246881
2023/06,103.4380871
2023/07,103.5966116
